Selection,Odds,Opposition,Resulted,Time
Iga Swiatek,1.2,Ajla Tomljanovic,True,00:10
Harriet Dart,3.26,Alize Cornet,True,00:10
Nikolas Sanchez Izquierdo,3.66,Dusan Lajovic,True,00:50
Alessandro Giannessi,2.56,Alexandre Muller,True,01:25
Arthur Cazaux,2.91,Tomas Machac,True,03:00
Tomas Machac,1.38,Arthur Cazaux,True,03:00
Elise Mertens,1.1,Despina Papamichail,True,03:10
Ernesto Escobedo,2.06,Valentin Vacherot,True,04:10
Mathias Bourgue,1.96,Jurgen Briand,True,04:45
Remy Bertola,2.55,Daniel Dutra da Silva,True,07:30
Dalibor Svrcina,2.21,Rinky Hijikata,False,12:05
Jason Jung,2.75,Maximilian Marterer,False,12:05
Miomir Kecmanovic,2.0,Daniel Evans,False,13:40
Li Tu,2.76,Zsombor Piros,False,13:40
Marin Cilic,2.01,Karen Khachanov,False,16:00
Brandon Nakashima,1.9,Borna Coric,False,16:30
Borna Coric,1.9,Brandon Nakashima,False,16:30
Jesper De Jong,2.0,Matteo Arnaldi,False,19:00
Tamara Zidansek,3.48,Anastasia Potapova,False,20:00
Maria Sakkari,1.21,Alycia Parks,False,20:00
Salvatore Caruso,2.95,Fernando Verdasco,False,20:30
Karolina Muchova,1.32,Caty McNally,False,21:30
Veronika Kudermetova,1.16,Magdalena Frech,False,21:30
Jelle Sels,2.77,Jiri Lehecka,False,22:00
Petra Martic,1.17,Moyuka Uchijima,False,23:00
Belinda Bencic,2.1,Barbora Krejcikova,False,23:00
Vasek Pospisil,1.27,Jules Marie,False,23:30
Timofey Skatov,2.22,Carlos Taberner,False,23:30
Jules Marie,3.53,Vasek Pospisil,False,23:30
